filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
PXL_20240501_203942126.jpg,2735537,"{}",261,0,"{""name"":""circle"",""cx"":922,""cy"":836,""r"":59}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,1,"{""name"":""circle"",""cx"":1159,""cy"":776,""r"":60}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,2,"{""name"":""circle"",""cx"":1310,""cy"":784,""r"":61}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,3,"{""name"":""circle"",""cx"":1461,""cy"":786,""r"":58}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,4,"{""name"":""circle"",""cx"":1583,""cy"":709,""r"":55.172}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,5,"{""name"":""circle"",""cx"":1674,""cy"":815,""r"":53}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,6,"{""name"":""circle"",""cx"":1557,""cy"":926,""r"":58}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,7,"{""name"":""circle"",""cx"":1398,""cy"":918,""r"":57}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,8,"{""name"":""circle"",""cx"":1232,""cy"":924,""r"":63}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,9,"{""name"":""circle"",""cx"":1071,""cy"":899,""r"":62}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,10,"{""name"":""circle"",""cx"":806,""cy"":946,""r"":63}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,11,"{""name"":""circle"",""cx"":961,""cy"":1000,""r"":62}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,12,"{""name"":""circle"",""cx"":710,""cy"":1079,""r"":64}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,13,"{""name"":""circle"",""cx"":866,""cy"":1110,""r"":56}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,14,"{""name"":""circle"",""cx"":1013,""cy"":1148,""r"":60}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,15,"{""name"":""circle"",""cx"":1137,""cy"":1047,""r"":63}","{""Class Label"":""0""}"
PXL_20240501_203942126.jpg,2735537,"{}",261,16,"{""name"":""circle"",""cx"":1336,""cy"":1048,""r"":59}","{""Class Label"":""0""}"
